system   D            wsystem.c:583  maybe_parent_dir                 [   0.00246] Also searching C:\Users\Mathias\Documents\Projects\PokemonBattleNetwork\
system   D            wsystem.c:630  _al_win_safe_load_library        [   0.00282] PathFindOnPath found: C:\Windows\system32\d3d9.dll
system   D            wsystem.c:544  load_library_at_path             [   0.00286] Calling LoadLibrary C:\Windows\system32\d3d9.dll
system   I            wsystem.c:547  load_library_at_path             [   0.01832] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:879  _al_d3d_init_display             [   0.03976] Render-to-texture: 1
system   I             system.c:270  al_install_system                [   0.03982] Allegro version: 5.0.5
dtor     D               dtor.c:184  _al_register_destructor          [   0.05736] added dtor for object 004D5D18, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07229] added dtor for object 004D6F48, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07237] added dtor for object 004D7268, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07241] added dtor for object 004D7580, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07246] added dtor for object 004D9988, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07250] added dtor for object 004D7748, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07254] added dtor for object 004D7890, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07259] added dtor for object 004D7A28, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07264] added dtor for object 004D7B10, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07268] added dtor for object 004D7CB8, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07271] added dtor for object 004D7E60, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07275] added dtor for object 02CE4C28, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07278] added dtor for object 02CE66B0, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07282] added dtor for object 02CE8148, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07286] added dtor for object 02CE9BD0, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07290] added dtor for object 02CEB658, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07293] added dtor for object 02CED0E0, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07297] added dtor for object 02CEEC48, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07301] added dtor for object 02CF06D0, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07304] added dtor for object 02CF2158, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07308] added dtor for object 02CF3BE0, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07312] added dtor for object 02CF5668, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07315] added dtor for object 02CF70F0, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07319] added dtor for object 02CF8BC8, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07323] added dtor for object 02CFA5F0, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07326] added dtor for object 02CFC078, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07334] added dtor for object 02CFDB00, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07338] added dtor for object 02CFF588, func 608827AC
